question_id,body_vs_in_favor_agreement,body_vs_against_agreement,in_favor_vs_against_agreement
41,1.0,0.38095238095238093,0.38095238095238093
42,0.8095238095238095,0.8095238095238095,0.9047619047619048
43,1.0,0.38095238095238093,0.38095238095238093
44,0.47619047619047616,0.7142857142857143,0.38095238095238093
45,0.8095238095238095,0.38095238095238093,0.38095238095238093
46,0.19047619047619047,0.09523809523809523,0.8095238095238095
47,0.9047619047619048,0.19047619047619047,0.09523809523809523
48,0.38095238095238093,0.8095238095238095,0.38095238095238093
49,0.19047619047619047,0.19047619047619047,0.7142857142857143
50,0.7142857142857143,0.5238095238095238,0.7142857142857143
51,0.8095238095238095,0.8095238095238095,0.9047619047619048
52,0.6190476190476191,1.0,0.6190476190476191
53,0.5238095238095238,1.0,0.5238095238095238
54,0.19047619047619047,0.8095238095238095,0.09523809523809523
55,0.38095238095238093,0.38095238095238093,0.8095238095238095
56,0.6666666666666666,0.5714285714285714,0.7142857142857143
57,0.7619047619047619,0.3333333333333333,0.19047619047619047
58,0.47619047619047616,0.19047619047619047,0.7142857142857143
59,0.09523809523809523,1.0,0.09523809523809523
60,0.7142857142857143,0.7142857142857143,0.8095238095238095
61,0.47619047619047616,0.19047619047619047,0.7142857142857143
62,0.38095238095238093,0.7142857142857143,0.47619047619047616
63,0.7142857142857143,0.38095238095238093,0.09523809523809523
64,0.6666666666666666,0.8095238095238095,0.7619047619047619
65,0.38095238095238093,0.2857142857142857,0.8095238095238095
66,0.7142857142857143,0.19047619047619047,0.09523809523809523
67,0.38095238095238093,0.8095238095238095,0.2857142857142857
68,0.19047619047619047,0.19047619047619047,1.0
69,0.38095238095238093,0.38095238095238093,0.5238095238095238
70,0.09523809523809523,0.09523809523809523,0.9047619047619048
71,1.0,1.0,1.0
72,0.9047619047619048,0.19047619047619047,0.19047619047619047
73,0.9047619047619048,0.8095238095238095,0.8095238095238095
74,0.9047619047619048,0.09523809523809523,0.09523809523809523
75,0.19047619047619047,0.9047619047619048,0.09523809523809523
76,0.7142857142857143,0.7142857142857143,1.0
77,0.7142857142857143,0.19047619047619047,0.47619047619047616
78,1.0,1.0,1.0
79,0.7142857142857143,0.5714285714285714,0.6666666666666666
80,0.8095238095238095,0.38095238095238093,0.47619047619047616
81,0.6666666666666666,0.7142857142857143,0.7619047619047619
82,0.09523809523809523,0.09523809523809523,0.9047619047619048
83,0.7142857142857143,1.0,0.7142857142857143
84,0.9047619047619048,0.9047619047619048,1.0
85,0.7619047619047619,0.7619047619047619,1.0
86,1.0,0.38095238095238093,0.38095238095238093
87,0.6666666666666666,0.19047619047619047,0.3333333333333333
88,1.0,0.7142857142857143,0.7142857142857143
89,0.38095238095238093,0.2857142857142857,0.5238095238095238
90,0.6190476190476191,0.6666666666666666,0.6666666666666666
91,0.38095238095238093,0.2857142857142857,0.8095238095238095
92,0.38095238095238093,0.7142857142857143,0.09523809523809523
93,0.38095238095238093,0.7142857142857143,0.09523809523809523
94,0.38095238095238093,0.7142857142857143,0.09523809523809523
95,0.9047619047619048,0.09523809523809523,0.09523809523809523
96,1.0,1.0,1.0
97,0.3333333333333333,0.09523809523809523,0.6666666666666666
98,0.8095238095238095,0.5714285714285714,0.6666666666666666
99,0.09523809523809523,0.38095238095238093,0.7142857142857143
100,0.8095238095238095,0.09523809523809523,0.09523809523809523
101,0.47619047619047616,0.38095238095238093,0.7142857142857143
102,1.0,0.38095238095238093,0.38095238095238093
103,0.7142857142857143,0.2857142857142857,0.09523809523809523
104,0.7142857142857143,0.5714285714285714,0.38095238095238093
105,1.0,0.09523809523809523,0.09523809523809523
106,0.9047619047619048,0.09523809523809523,0.09523809523809523
107,0.09523809523809523,0.7142857142857143,0.38095238095238093
108,0.7142857142857143,0.38095238095238093,0.09523809523809523
109,1.0,0.2857142857142857,0.2857142857142857
110,1.0,0.7142857142857143,0.7142857142857143
111,0.7142857142857143,0.7142857142857143,1.0
112,0.7142857142857143,0.9047619047619048,0.8095238095238095
113,0.09523809523809523,0.8095238095238095,0.19047619047619047
114,0.38095238095238093,1.0,0.38095238095238093
115,0.5714285714285714,0.7142857142857143,0.6666666666666666
116,0.38095238095238093,0.8095238095238095,0.47619047619047616
117,0.2857142857142857,0.2857142857142857,1.0
118,0.38095238095238093,0.47619047619047616,0.8095238095238095
119,0.38095238095238093,0.7142857142857143,0.19047619047619047
120,1.0,0.19047619047619047,0.19047619047619047
121,0.38095238095238093,0.5238095238095238,0.2857142857142857
122,0.7142857142857143,0.42857142857142855,0.5238095238095238
123,0.7142857142857143,0.09523809523809523,0.38095238095238093
124,0.38095238095238093,0.9047619047619048,0.38095238095238093
125,0.38095238095238093,0.38095238095238093,1.0
126,0.5714285714285714,0.8095238095238095,0.7619047619047619
127,0.09523809523809523,0.09523809523809523,0.8095238095238095
128,1.0,0.38095238095238093,0.38095238095238093
129,0.09523809523809523,0.8095238095238095,0.09523809523809523
130,0.47619047619047616,0.47619047619047616,0.8095238095238095
131,0.47619047619047616,0.19047619047619047,0.7142857142857143
132,0.9047619047619048,0.8095238095238095,0.8095238095238095
133,1.0,0.09523809523809523,0.09523809523809523
134,0.7142857142857143,0.38095238095238093,0.09523809523809523
135,0.5238095238095238,0.5238095238095238,1.0
136,0.3333333333333333,0.3333333333333333,1.0
